Domain,Topic,Skill,Sub-skill
Algebra,Sequences and series,Identifying and writing sequences,Writing terms of a sequence recursively (including arithmetic and geometric sequences)
Algebra,Sequences and series,Identifying and writing sequences,Identifying and writing rules for a sequence when given some terms of the sequence (including arithmetic and geometric sequences)
Algebra,Sequences and series,Understanding and applying sequences,Using arithmetic sequences to model situations
Algebra,Sequences and series,Understanding and applying sequences,Using geometric sequences to model situations
Algebra,Sequences and series,Understanding and applying arithmetic series,Deriving the formula for the sum of a finite arithmetic series
Algebra,Sequences and series,Understanding and applying arithmetic series,Applying the formula for the sum of a finite arithmetic series to solve problems
Algebra,Sequences and series,Understanding and applying geometric series,Deriving the formula for the sum of a finite geometric series
Algebra,Sequences and series,Understanding and applying geometric series,Applying the formula for the sum of a finite geometric series to solve problems
Algebra,Sequences and series,Understanding and applying geometric series,Deriving the formula for the sum of an infinite geometric series
Algebra,Sequences and series,Understanding and applying geometric series,Applying the formula for the sum of an infinite geometric series to solve problems
Geometry,Angles,Drawing and naming angles,Drawing right angles
Geometry,Angles,Drawing and naming angles,Drawing acute and obtuse angles
Geometry,Angles,Drawing and naming angles,Naming angles using points
Geometry,Angles,Drawing and naming angles,Sketching angles of a specified measure
Geometry,Angles,Drawing and naming angles,Sketching negative angles (including understanding of clockwise and anticlockwise rotations)
Geometry,Angles,Understanding and measuring angles,Understanding that an angle that turns through 1/360 of a circle is a one-degree angle
Geometry,Angles,Understanding and measuring angles,Understanding that an angle that turns through 'n' one-degree angles has an angle measure of 'n' degrees
Geometry,Angles,Understanding and measuring angles,Measuring angles using a protractor
Geometry,Angles,Understanding and measuring angles,recognizing angle measures as additive
Geometry,Angles,Understanding and measuring angles,Proving that vertically opposite angles are equal
Geometry,Angles,Understanding and measuring angles,Finding coterminal angles
Geometry,Angles,Solving problems involving angles and equations,Solving addition and/or subtraction problems involving unknown angles on a diagram
Geometry,Angles,Solving problems involving angles and equations,Applying facts about vertically opposite angles to solve problems
Geometry,Angles,Solving problems involving angles and equations,Applying facts about complementary angles to solve problems
Geometry,Angles,Solving problems involving angles and equations,Applying facts about supplementary angles to solve problems
Geometry,Angles,Solving problems involving angles and equations,"Applying facts about two or more types of angles (vertically opposite, complementary, supplementary, adjacent) to solve problems"
Geometry,Area,Developing an understanding of area,Understanding that a square with side length 1 unit can be used to measure area
Geometry,Area,Developing an understanding of area,Understanding that a plane figure which can be fully covered by 'n' unit squares has an area of 'n' square units
Geometry,Area,Developing an understanding of area,Understanding when area is the quantity of interest involved in a scenario (including cases where contrasting it with perimeter or volume)
Geometry,Area,Developing an understanding of area,Measuring area by counting unit squares
Geometry,Area,Developing an understanding of area,Finding the area of a rectangle by tiling and recognizing that the area is the product of its side lengths
Geometry,Area,Developing an understanding of area,Using a concrete case to show that the area of a rectangle with side lengths a and b + c is the sum of a × b and a × c
Geometry,Area,Developing an understanding of area,recognizing that area is additive and applying this fact to decompose figures to find areas
Geometry,Area,Measuring and estimating area of triangles,Calculating areas of right-angled triangles
Geometry,Area,Measuring and estimating area of triangles,Calculating areas of triangles (excluding right-angled triangles)
Geometry,Area,Measuring and estimating area of quadrilaterals,Applying the area formula for squares to solve problems
Geometry,Area,Measuring and estimating area of quadrilaterals,Applying the area formula for rectangles to solve problems
Geometry,Area,Connecting perimeter and area of rectangles,Drawing rectangles with the same area but different perimeters
Geometry,Area,Connecting perimeter and area of rectangles,Drawing rectangles with the same perimeter but different areas 
Geometry,Area,Measuring and estimating area of quadrilaterals,Calculating areas of rhombuses
Geometry,Area,Measuring and estimating area of quadrilaterals,"Calculating areas of parallelograms (excluding squares, rectangles and rhombuses)"
Geometry,Area,Measuring and estimating area of quadrilaterals,Calculating areas of trapezoids
Geometry,Area,Measuring and estimating area of miscellaneous shapes,Calculating areas of irregular polygons
Geometry,Area,Measuring and estimating area of miscellaneous shapes,Estimating the area of two-dimensional composite shapes using a square grid
Geometry,Area,Measuring and estimating area of miscellaneous shapes,Solving problems involving areas of two-dimensional shapes
Geometry,Area,Measuring and estimating area of miscellaneous shapes,Calculating and comparing areas of similar polygons
Geometry,Area,Applying the understanding of the area of a circle to solve problems,Deriving the relationship between the circumference and area of a circle
Geometry,Area,Applying the understanding of the area of a circle to solve problems,Recalling and using the formulae for the area of a circle to solve problems
Geometry,Area,Applying the understanding of the area of a circle to solve problems,Describing an informal argument for the formula for the area of a circle
Geometry,Area,Applying geometric concepts in modelling,Applying concepts of density based on area in modeling situations
Geometry,Basic geometry,Drawing and identifying geometric elements,"Drawing and identifying points, rays, lines and line segments"
Geometry,Basic geometry,Drawing and identifying geometric elements,Drawing (freehand or with geometrical instruments) geometric shapes under given conditions
Geometry,Basic geometry,Drawing and identifying geometric elements,Drawing (with technology) geometric shapes under given conditions
Geometry,Basic geometry,Drawing and identifying geometric elements,Drawing and understanding skew lines and planes
Geometry,Basic geometry,Drawing and identifying pairs of lines,Drawing and identifying parallel lines
Geometry,Basic geometry,Drawing and identifying pairs of lines,Drawing and identifying perpendicular lines
Geometry,Basic geometry,Drawing and identifying circles,"Knowing and identifying terms related to circles (centre, radius, diameter, circumference and semicircle)"
Geometry,Basic geometry,Drawing and identifying circles,"Knowing and identifying line segments associated with circles (chord, secant and tangent)"
Geometry,Basic geometry,Understanding key terms,"Knowing precise definitions of line segments, perpendicular lines and parallel lines"
Geometry,Basic geometry,Understanding key terms,Identifying perpendicular lines and parallel lines in the context of planes
Geometry,Basic geometry,Naming geometric elements,"Naming points, line segments, rays, lines and planes"
Geometry,Basic geometry,Proving and using geometric properties,Proving that points on a perpendicular bisector of a line segment are equidistant from the segment’s endpoints
Geometry,Basic geometry,Proving and using geometric properties,Using the perpendicular bisector theorem to solve problems
Geometry,Basic geometry,Proving and using geometric properties,Proving that points on an angle bisector are equidistant from the arms of the angle
Geometry,Basic geometry,Proving and using geometric properties,Using the angle bisector theorem to solve problems
Geometry,Circles and conic sections,Defining key terms related to circles,Defining a circle as a locus
Geometry,Circles and conic sections,Defining key terms related to circles,"Defining lines and line segments associated with circles (radius, diameter, chord, secant and tangent)"
Geometry,Circles and conic sections,Defining key terms related to circles,Drawing and identifying types of tangents
Geometry,Circles and conic sections,Defining key terms related to circles,Understanding the radian measure of an angle
Geometry,Circles and conic sections,Defining key terms related to circles,Converting between radian and degree measures and vice versa
Geometry,Circles and conic sections,Understanding and applying theorems and properties about circles,Proving that all circles are similar
Geometry,Circles and conic sections,Understanding and applying theorems and properties about circles,Identifying and proving that the radius of a circle is perpendicular to the tangent at the point of contact
Geometry,Circles and conic sections,Understanding and applying theorems and properties about circles,"Identifying and describing the relationships between central, inscribed and circumscribed angles"
Geometry,Circles and conic sections,Understanding and applying theorems and properties about circles,Identifying and proving that inscribed angles on a diameter are right angles
Geometry,Circles and conic sections,Understanding and applying theorems and properties about circles,"Solving problems related to central, inscribed and circumscribed angles (including angle theorems)"
Geometry,Circles and conic sections,Understanding and applying theorems and properties about circles,Solving problems related to chords of circles (including chord theorems)
Geometry,Circles and conic sections,Understanding and applying theorems and properties about circles,Proving the properties of angles for a quadrilateral inscribed in a circle
Geometry,Circles and conic sections,Understanding and applying theorems and properties about circles,Deriving the fact that the length of the arc is proportional to the radius
Geometry,Circles and conic sections,Understanding and applying theorems and properties about circles,Solving problems related to arcs of circles (including arc theorems)
Geometry,Circles and conic sections,Understanding and applying theorems and properties about circles,Deriving the formula for the area of a sector of a circle
Geometry,Circles and conic sections,Understanding and applying theorems and properties about circles,Solving problems related to the area of a sector of a circle
Geometry,Circles and conic sections,Understanding and applying theorems and properties about circles,Applying miscellaneous theorems and properties about circles to solve problems
Geometry,Circles and conic sections,Deriving and using the equation of a circle,Deriving the equation of a circle of a given centre and radius
Geometry,Circles and conic sections,Deriving and using the equation of a circle,Finding the centre and radius of a circle by completing the square when given an equation
Geometry,Circles and conic sections,Deriving and using the equation of a circle,Solving problems related to the equation of a circle (including proofs and graphs)
Geometry,Circles and conic sections,Understanding equations and properties about conic sections,Deriving the equation of a parabola given a focus and directrix
Geometry,Circles and conic sections,Understanding equations and properties about conic sections,"Solving problems involving equations of parabolas, foci and directrixes"
Geometry,Circles and conic sections,Understanding equations and properties about conic sections,Deriving the equation of an ellipse using the fact that the sum of distances from the foci is constant
Geometry,Circles and conic sections,Understanding equations and properties about conic sections,Deriving the equation of a hyperbola using the fact that the difference of distances from the foci is constant
Geometry,Congruency and similarity,Understanding congruency,Identifying congruent figures
Geometry,Congruency and similarity,Understanding congruency,Reasoning how two figures are congruent using transformations
Geometry,Congruency and similarity,Understanding congruency,Establishing the conditions necessary for two triangles to be congruent
Geometry,Congruency and similarity,Understanding congruency,Explaining how the SSS criterion for triangle congruence follows from the definition of congruence
Geometry,Congruency and similarity,Understanding congruency,Explaining how the SAS criterion for triangle congruence follows from the definition of congruence
Geometry,Congruency and similarity,Understanding congruency,Explaining how the ASA criterion for triangle congruence follows from the definition of congruence
Geometry,Congruency and similarity,Understanding congruency,Understanding how the hypotenuse-leg (HL) criterion for triangle congruence follows from the SAS criterion
Geometry,Congruency and similarity,Understanding similarity,Identifying similar figures
Geometry,Congruency and similarity,Understanding similarity,Describing a sequence of transformations to demonstrate similarity between two figures
Geometry,Congruency and similarity,Understanding similarity,Establishing the conditions necessary for two triangles to be similar
Geometry,Congruency and similarity,Understanding similarity,Explaining the AA criterion for triangle similarity using properties of transformations
Geometry,Congruency and similarity,Understanding similarity,Understanding how the SSS criterion for triangle similarity follows from the AA criterion
Geometry,Congruency and similarity,Understanding similarity,Explaining how the SAS criterion for triangle similarity follows from the AA criterion
Geometry,Congruency and similarity,Applying congruency and/or similarity to solve problems,Using congruency criteria for triangles to solve problems
Geometry,Congruency and similarity,Applying congruency and/or similarity to solve problems,Using congruency criteria to prove relationships in geometric figures
Geometry,Congruency and similarity,Applying congruency and/or similarity to solve problems,Using similarity criteria for triangles to solve problems
Geometry,Congruency and similarity,Applying congruency and/or similarity to solve problems,Using similarity criteria to prove relationships in geometric figures
Geometry,Congruency and similarity,Applying congruency and/or similarity to solve problems,Using a combination of congruency and similarity to solve problems
Geometry,Constructions,Performing constructions involving triangles,Constructing triangles where the lengths of the three sides are given
Geometry,Constructions,Performing constructions involving triangles,Constructing triangles where a combination of side lengths and angles are given
Geometry,Constructions,Performing constructions involving lines and/or line segments,Copying and/or bisecting a line segment
Geometry,Constructions,Performing constructions involving lines and/or line segments,"Constructing a pair of perpendicular lines, including the perpendicular bisector of a line segment"
Geometry,Constructions,Performing constructions involving lines and/or line segments,Constructing a line parallel to a given line through a point
Geometry,Constructions,Performing constructions involving angles,Copying and/or bisecting an angle
Geometry,Constructions,Performing constructions involving polygons,Constructing an equilateral triangle inscribed in a circle
Geometry,Constructions,Performing constructions involving polygons,Constructing a square inscribed in a circle
Geometry,Constructions,Performing constructions involving polygons,Constructing a regular hexagon inscribed in a circle
Geometry,Constructions,Performing and using constructions involving circles,Constructing an inscribed circle of a triangle
Geometry,Constructions,Performing and using constructions involving circles,Using the incenter of a triangle to solve geometric problems 
Geometry,Constructions,Performing and using constructions involving circles,Constructing a circumscribed circle of a triangle
Geometry,Constructions,Performing and using constructions involving circles,Using the circumcenter of a triangle to solve geometric problems 
Geometry,Constructions,Performing and using constructions involving circles,Constructing a tangent line from a point to a circle
Geometry,Coordinate geometry,Graphing whole number points in the coordinate plane,Understanding the abscissa and ordinate
Geometry,Coordinate geometry,Graphing whole number points in the coordinate plane,Identifying and writing an ordered pair when a point is given on a graph
Geometry,Coordinate geometry,Graphing whole number points in the coordinate plane,Representing mathematical problems by graphing points in the first quadrant
Geometry,Coordinate geometry,Graphing whole number points in the coordinate plane,Representing real-world problems by graphing points in the first quadrant
Geometry,Coordinate geometry,Graphing polygons in the coordinate plane,Drawing polygons in the coordinate plane when given the coordinates of its vertices
Geometry,Coordinate geometry,Graphing polygons in the coordinate plane,Finding the length of a side of a polygon joining points with the same abscissa or same ordinate
Geometry,Coordinate geometry,Graphing polygons in the coordinate plane,Applying graphing of polygons to solve problems
Geometry,Coordinate geometry,Applying coordinates to different geometrical scenarios,Using coordinates to prove geometric theorems algebraically
Geometry,Coordinate geometry,Applying coordinates to different geometrical scenarios,Finding a point on a line segment between two points that partitions the segment in a given ratio and vice versa
Geometry,Coordinate geometry,Applying coordinates to different geometrical scenarios,Finding the midpoint of a line segment when given the coordinates of its end-points
Geometry,Coordinate geometry,Applying coordinates to different geometrical scenarios,Applying the distance formula
Geometry,Coordinate geometry,Applying coordinates to different geometrical scenarios,Using coordinates to compute perimeters of polygons
Geometry,Coordinate geometry,Applying coordinates to different geometrical scenarios,Using coordinates to find the areas of triangles/rectangles
Geometry,Coordinate geometry,Applying coordinates to different geometrical scenarios,Writing proofs using the coordinate plane along with other geometric concepts
Geometry,Parallel lines,Understanding and using angles created when parallel lines are cut by a transversal,Understanding and using corresponding angles
Geometry,Parallel lines,Understanding and using angles created when parallel lines are cut by a transversal,Understanding and using interior and exterior angles
Geometry,Parallel lines,Understanding and using angles created when parallel lines are cut by a transversal,Understanding and using co-interior angles
Geometry,Parallel lines,Proving properties of angles created when parallel lines are cut by a transversal,Proving that corresponding angles are equal (and its converse)
Geometry,Parallel lines,Proving properties of angles created when parallel lines are cut by a transversal,Proving that alternate interior/exterior angles are equal (and their converses)
Geometry,Parallel lines,Proving properties of angles created when parallel lines are cut by a transversal,Proving that co-interior angles are supplementary (and its converse)
Geometry,Parallel lines,Applying the properties of angles created when parallel lines are cut by a transversal,Applying angle relationships between parallel lines to find angle measures in mathematical scenarios
Geometry,Parallel lines,Applying the properties of angles created when parallel lines are cut by a transversal,Applying angle relationships between parallel lines to find angle measures and solve problems in real-life scenarios
Geometry,Perimeter,Measuring and estimating perimeter,Understanding when perimeter is the quantity of interest involved in a scenario (including cases where contrasting it with area or volume)
Geometry,Perimeter,Measuring and estimating perimeter,Solving problems involving perimeter of two-dimensional shapes (including irregular polygons)
Geometry,Perimeter,Measuring and estimating perimeter,Applying the perimeter formula for squares and rectangles to solve problems
Geometry,Perimeter,Measuring and estimating perimeter,Estimating the perimeter of two-dimensional composite shapes using a square grid
Geometry,Perimeter,Applying the understanding of the circumference of a circle to solve problems,Finding the radius when given the diameter and vice versa
Geometry,Perimeter,Applying the understanding of the circumference of a circle to solve problems,Recalling and using the formulae for the circumference of a circle to solve problems
Geometry,Perimeter,Applying the understanding of the circumference of a circle to solve problems,Describing an informal argument for the formula for the circumference of a circle
Geometry,Perimeter,Applying concepts in similarity to perimeter,Finding perimeters of similar polygons
Geometry,Polygons,Identifying and classifying polygons,Identifying polygons with more than four sides
Geometry,Polygons,Identifying and classifying polygons,Classifying polygons on the basis of their number of sides
Geometry,Polygons,Understanding properties of polygons,Establishing and proving the angle sum property for the interior angles of a polygon
Geometry,Polygons,Understanding properties of polygons,Establishing and proving the angle sum property for the exterior angles of a polygon
Geometry,Polygons,Applying properties of polygons,Applying the angle sum property for the interior angles of a polygon
Geometry,Polygons,Applying properties of polygons,Applying the angle sum property for the exterior angles of a polygon
Geometry,Quadrilaterals,Understanding quadrilaterals,Identifying quadrilaterals
Geometry,Quadrilaterals,Understanding quadrilaterals,Identifying right angles and/or parallel sides in quadrilaterals
Geometry,Quadrilaterals,Understanding quadrilaterals,"recognizing and drawing rhombuses, rectangles and squares as quadrilaterals"
Geometry,Quadrilaterals,Understanding quadrilaterals,"Drawing quadrilaterals that are not rhombuses, rectangles or squares"
Geometry,Quadrilaterals,Understanding quadrilaterals,Proving and using the properties of angles for a quadrilateral
Geometry,Quadrilaterals,Classifying quadrilaterals,Classifying quadrilaterals based on the presence or absence of parallel and/or perpendicular lines
Geometry,Quadrilaterals,Classifying quadrilaterals,Classifying quadrilaterals on the basis of their angles and sides
Geometry,Quadrilaterals,Classifying quadrilaterals,Classifying quadrilaterals in a hierarchy based on properties
Geometry,Quadrilaterals,Understanding properties of parallelograms,"Proving basic properties related to sides, angles and diagonals in a parallelogram"
Geometry,Quadrilaterals,Understanding properties of parallelograms,"Proving that squares, rectangles and rhombuses are special types of parallelograms"
Geometry,Quadrilaterals,Applying properties of parallelograms,Applying properties related to angles and/or sides and/or diagonals in a parallelogram to solve geometric problems
Geometry,Quadrilaterals,Applying properties of parallelograms,"Applying properties of special parallelograms (square, rectangle and rhombus) to solve geometric problems"
Geometry,Quadrilaterals,Understanding and applying properties of trapezoids,Understanding properties related to the sides and/or angles of trapezoids
Geometry,Quadrilaterals,Understanding and applying properties of trapezoids,Applying properties related to the sides and/or angles of trapezoids to solve problems
Geometry,Quadrilaterals,Understanding and applying properties of trapezoids,Understanding and using the trapezoid midsegment theorem
Geometry,Quadrilaterals,Understanding and applying properties of kites,Understanding properties related to the sides and/or angles of kites
Geometry,Quadrilaterals,Understanding and applying properties of kites,Applying properties related to the sides and/or angles of kites to solve problems
Geometry,Shapes,Reasoning with two-dimensional shapes and their attributes,Describing/recognizing defining attributes of two-dimensional shapes
Geometry,Shapes,Reasoning with two-dimensional shapes and their attributes,Sorting two-dimensional shapes based on certain defining attributes
Geometry,Shapes,Reasoning with two-dimensional shapes and their attributes,Drawing shapes that possess certain defining attributes
Geometry,Shapes,Reasoning with two-dimensional shapes and their attributes,Combining two-dimensional shapes to create a composite shape
Geometry,Shapes,Reasoning with two-dimensional shapes and their attributes,Decomposing a two-dimensional shape
Geometry,Shapes,Reasoning with two-dimensional shapes and their attributes,Partitioning a rectangle into rows and columns of same-size squares
Geometry,Shapes,Reasoning with two-dimensional shapes and their attributes,recognizing that equal shares of identical wholes need not have the same shape
Geometry,Shapes,Reasoning with two-dimensional shapes and their attributes,Understanding that shapes in different categories may share attributes
Geometry,Shapes,Reasoning with two-dimensional shapes and their attributes,Understanding that shared attributes can define a large category
Geometry,Shapes,Reasoning with two-dimensional shapes and their attributes,Partitioning shapes into parts with equal areas
Geometry,Shapes,Reasoning with two-dimensional shapes and their attributes,Understanding that attributes belonging to a category of shapes also belong to all subcategories of that category
Geometry,Shapes,Reasoning with three-dimensional shapes and their attributes,Describing/recognizing defining attributes of three-dimensional shapes
Geometry,Shapes,Reasoning with three-dimensional shapes and their attributes,Sorting three-dimensional shapes based on certain defining attributes
Geometry,Shapes,Reasoning with three-dimensional shapes and their attributes,Drawing shapes that possess certain defining attributes
Geometry,Shapes,Reasoning with three-dimensional shapes and their attributes,Combining three-dimensional shapes to create a composite shape
Geometry,Shapes,Reasoning with three-dimensional shapes and their attributes,Decomposing a three-dimensional shape
Geometry,Shapes,Reasoning with three-dimensional shapes and their attributes,"Finding the number of edges, vertices and faces of a three-dimensional solid"
Geometry,Shapes,Reasoning with three-dimensional shapes and their attributes,Describing the two-dimensional figures that result from slicing right rectangular prisms
Geometry,Shapes,Reasoning with three-dimensional shapes and their attributes,Describing the two-dimensional figures that result from slicing cylinders
Geometry,Shapes,Reasoning with three-dimensional shapes and their attributes,Describing the two-dimensional figures that result from slicing right rectangular pyramids
Geometry,Shapes,Reasoning with three-dimensional shapes and their attributes,Describing the two-dimensional figures that result from slicing cones
Geometry,Shapes,Reasoning with three-dimensional shapes and their attributes,Identifying three-dimensional objects generated by rotations/revolutions of two-dimensional objects
Geometry,Shapes,Understanding symmetry,recognizing a line of symmetry for a two-dimensional shape
Geometry,Shapes,Understanding symmetry,Drawing lines of symmetry
Geometry,Shapes,Understanding symmetry,Identifying line-symmetric shapes
Geometry,Shapes,Understanding symmetry,Drawing line-symmetric shapes
Geometry,Shapes,Applying geometric concepts in modelling,Using geometric shapes (including their measures and properties) to describe real-life objects
Geometry,Shapes,Applying geometric concepts in modelling,Applying geometric methods to solve design problems
Geometry,Surface area,Developing an understanding of surface area,Understanding when surface area is the quantity of interest involved in a scenario (including cases where contrasting it with perimeter or volume)
Geometry,Surface area,Developing an understanding of surface area,"Understanding and using nets made up of triangles, rectangles and circles to represent three-dimensional solids"
Geometry,Surface area,Solving mathematical and real-world problems involving surface area of cubes and cuboids,Solving mathematical problems involving surface area of cubes and cuboids
Geometry,Surface area,Solving mathematical and real-world problems involving surface area of cubes and cuboids,Solving real-world problems involving surface area of cubes and cuboids
Geometry,Surface area,Solving mathematical and real-world problems involving surface area of cylinders,Solving mathematical problems involving surface area of cylinders
Geometry,Surface area,Solving mathematical and real-world problems involving surface area of cylinders,Solving real-world problems involving surface area of cylinders
Geometry,Surface area,Solving mathematical and real-world problems involving surface area of prisms,Solving mathematical problems involving surface area of prisms
Geometry,Surface area,Solving mathematical and real-world problems involving surface area of prisms,Solving real-world problems involving surface area of prisms
Geometry,Surface area,Solving mathematical and real-world problems involving surface area of pyramids,Solving mathematical problems involving surface area of pyramids
Geometry,Surface area,Solving mathematical and real-world problems involving surface area of pyramids,Solving real-world problems involving surface area of pyramids
Geometry,Surface area,Solving mathematical and real-world problems involving surface area of cones,Solving mathematical problems involving surface area of cones
Geometry,Surface area,Solving mathematical and real-world problems involving surface area of cones,Solving real-world problems involving surface area of cones
Geometry,Surface area,Solving mathematical and real-world problems involving surface area of composite solids,"Applying the formulae for the surface area of cylinders, prisms, pyramids and/or cones to real-world problems involving composite solids"
Geometry,Transformations,Identifying transformations,Identifying translations
Geometry,Transformations,Identifying transformations,Identifying reflections
Geometry,Transformations,Identifying transformations,Identifying rotations
Geometry,Transformations,Identifying transformations,Identifying dilations
Geometry,Transformations,Identifying transformations,"Developing definitions of translations in terms of angles,
circles, perpendicular lines, parallel lines and line segments"
Geometry,Transformations,Identifying transformations,"Developing definitions of reflections in terms of angles,
circles, perpendicular lines, parallel lines and line segments"
Geometry,Transformations,Identifying transformations,"Developing definitions of rotations in terms of angles,
circles, perpendicular lines, parallel lines and line segments"
Geometry,Transformations,Performing transformations,Solving problems involving scaling of length
Geometry,Transformations,Performing transformations,Solving problems involving scaling of area
Geometry,Transformations,Performing transformations,Performing translations
Geometry,Transformations,Performing transformations,Performing reflections
Geometry,Transformations,Performing transformations,Performing rotations
Geometry,Transformations,Performing transformations,Performing dilations
Geometry,Transformations,Performing transformations,Performing multiple transformations
Geometry,Transformations,Performing transformations,Using geometric descriptions of rigid motions to transform figures
Geometry,Transformations,Performing transformations,Verifying (experimentally) that a dilation takes a line not passing through the center of the dilation to a parallel line
Geometry,Transformations,Performing transformations,Verifying (experimentally) that a dilation leaves a line passing through the center unchanged
Geometry,Transformations,Performing transformations,Verifying (experimentally) that a dilation of a line segment is longer or shorter in the ratio given by the scale factor
Geometry,Transformations,Representing and comparing transformations,Describing transformations as functions that take points in the plane as inputs and give other points as outputs
Geometry,Transformations,Representing and comparing transformations,Comparing transformations that preserve distance and angle to those that do not
Geometry,Transformations,Describing effects of transformations,Describing the effect of multiple transformations on two-dimensional figures
Geometry,Transformations,Describing effects of transformations,Describing the rotations and reflections that carry any polygon onto itself
Geometry,Transformations,Describing effects of transformations,Predicting the effect of a rigid motion on a figure
Geometry,Transformations,Understanding rotational symmetry,Identifying whether a shape possesses rotational symmetry or not
Geometry,Transformations,Understanding rotational symmetry,Describing rotations (by angle) that map a shape onto itself
Geometry,Triangles,Identifying and classifying triangles,Identifying triangles
Geometry,Triangles,Identifying and classifying triangles,Classifying triangles on the basis of either their angles or sides
Geometry,Triangles,Identifying and classifying triangles,"Knowing terms related to triangles (vertex, side, base, height etc.)"
Geometry,Triangles,Understanding existence of triangles,"Understanding the conditions for the existence of triangles (unique triangle, more than one triangle, no triangle)"
Geometry,Triangles,Understanding properties of triangles,Knowing and understanding properties pertaining to sums and differences of side lengths of triangles
Geometry,Triangles,Understanding properties of triangles,Establishing and proving the angle sum property of triangles
Geometry,Triangles,Understanding properties of triangles,Establishing and proving the exterior angle property of triangles
Geometry,Triangles,Understanding properties of triangles,Proving theorems that relate side lengths to angle measures
Geometry,Triangles,Understanding properties of triangles,Proving that the segment joining midpoints of two sides of a triangle is parallel to and half the length of the third side
Geometry,Triangles,Understanding properties of triangles,Proving that the medians of a triangle meet at a point
Geometry,Triangles,Understanding properties of triangles,Proving that the altitudes of a non-right triangle meet at a point
Geometry,Triangles,Understanding properties of triangles,Proving that a line parallel to one side of a triangle divides the other two sides proportionally
Geometry,Triangles,Understanding the Pythagorean theorem,Deriving the Pythagorean theorem and its converse (including using triangle similarity)
Geometry,Triangles,Applying the Pythagorean theorem,Determining unknown side lengths in right triangles (both two-dimensions and three-dimensions)
Geometry,Triangles,Applying the Pythagorean theorem,Applying the Pythagorean theorem (and/or its converse) to different geometric problems
Geometry,Triangles,Applying properties of triangles,Applying the angle sum property of triangles
Geometry,Triangles,Applying properties of triangles,Applying the exterior angle property of triangles
Geometry,Triangles,Applying properties of triangles,Applying properties based on the relationship between side lengths and angle measures to solve geometric problems
Geometry,Triangles,Applying properties of triangles,Applying properties related to medians to solve geometric problems
Geometry,Triangles,Applying properties of triangles,Applying properties related to altitudes to solve geometric problems
Geometry,Triangles,Applying properties of triangles,Applying the triangle midsegment theorem (intercept theorem or basic proportionality theorem) to solve geometric problems
Geometry,Trigonometry,Defining and understanding trigonometric ratios,Understanding that side ratios in right triangles are properties of the angles in the triangle
Geometry,Trigonometry,Defining and understanding trigonometric ratios,Defining the six fundamental ratios for acute angles
Geometry,Trigonometry,Defining and understanding trigonometric ratios,Explaining and using the relationship between the sine and cosine of complementary angles
Geometry,Trigonometry,Applying trigonometric ratios,Solving mathematical problems using trigonometric ratios in right triangles
Geometry,Trigonometry,Applying trigonometric ratios,Solving real-world problems using trigonometric ratios in right triangles
Geometry,Trigonometry,Applying trigonometric ratios along with other mathematical concepts,Solving multi-concept problems involving trigonometric ratios and other concepts in right triangles
Geometry,Trigonometry,Applying trigonometric ratios along with other mathematical concepts,Deriving and using the formula for the area of a triangle in terms of sides and the sine ratio
Geometry,Trigonometry,Applying trigonometric ratios along with other mathematical concepts,Proving the law of sines in triangles
Geometry,Trigonometry,Applying trigonometric ratios along with other mathematical concepts,Proving the law of cosines in triangles
Geometry,Trigonometry,Applying trigonometric ratios along with other mathematical concepts,Using the law of sines and/or cosines in right triangles to solve problems
Geometry,Trigonometry,Applying trigonometric ratios along with other mathematical concepts,Using the law of sines and/or cosines in non-right triangles to solve problems
Geometry,Volume,Measuring and estimating volume,Measuring volume using different metric units (litres and millilitres)
Geometry,Volume,Measuring and estimating volume,Solving one-step word problems involving addition and/or subtraction of volume
Geometry,Volume,Measuring and estimating volume,Solving one-step word problems involving multiplication and/or division of volume
Geometry,Volume,Developing an understanding of volume,Knowing that a cube with side length 1 unit can be used to measure volume
Geometry,Volume,Developing an understanding of volume,Understanding that a solid figure which can be fully packed by 'n' unit cubes has a volume of 'n' cubic units
Geometry,Volume,Developing an understanding of volume,Measuring volume by counting unit cubes using different units
Geometry,Volume,Developing an understanding of volume,Understanding when volume is the quantity of interest involved in a scenario (including cases where contrasting it with perimeter or area)
Geometry,Volume,Developing an understanding of volume,Finding the volume of a right rectangular prism by packing it with unit cubes
Geometry,Volume,Developing an understanding of volume,recognizing that the volume of a right rectangular prism is the product of its side lengths
Geometry,Volume,Developing an understanding of volume,Finding volumes of solid figures by decomposing them into non-overlapping right rectangular prisms
Geometry,Volume,Developing an understanding of volume,recognizing that volume is additive
Geometry,Volume,Developing an understanding of volume,Applying the technique of decomposing figures to find volumes in real-world contexts
Geometry,Volume,Measuring and estimating volume of cubes and cuboids,Solving mathematical problems involving volume of cubes and cuboids
Geometry,Volume,Measuring and estimating volume of cubes and cuboids,Solving real-world problems involving volume of cubes and cuboids
Geometry,Volume,Measuring and estimating volume of prisms,Solving mathematical problems involving volume of prisms
Geometry,Volume,Measuring and estimating volume of prisms,Solving real-world problems involving volume of prisms
Geometry,Volume,Measuring and estimating volume of pyramids,Solving mathematical problems involving volume of pyramids
Geometry,Volume,Measuring and estimating volume of pyramids,Solving real-world problems involving volume of pyramids
Geometry,Volume,Measuring and estimating volume of cylinders,Solving mathematical problems involving volume of cylinders
